산업분야,자기자본비율,고정비율,유형자산비율,현금성자산비율,현금비율,부채비율,자기자본대비부채비율,유동비율,당좌비율
2,0.413,0.883211679,0.364457831,0.0767,0.0601,0.589015196,1.433184185,0.786479105,0.64246399
2,0.286,2.11147541,0.602996255,0.0511,0.0289,0.714192735,2.498861369,0.567148068,0.485522229
2,0.872,0.316326531,0.275800712,0.0224,0.0759,0.128612969,0.147595602,3.379520688,2.13005025
1,0.698,0.183890234,0.128426879,0.316,0.864,0.300543194,0.429681247,2.733508228,2.733508228
0,0.536,0.023461828,0.012569297,0.013,0.0541,0.464266087,0.86659828,4.172440325,3.036515367
2,0.475,0.885266452,0.420468276,0.137,0.106,0.525037603,1.105429833,0.774730985,0.585545002
2,0.751,0.305055845,0.229048538,0.00203,0.00657,0.249158663,0.331839299,3.244578989,2.403960905
2,0.508,0.54263298,0.27573903,0.0574,0.133,0.491849851,0.967922281,2.318616968,1.679715926
2,0.361,1.259648551,0.4552722,0.0334,0.0339,0.638572044,1.766803133,1.014369812,0.304485115
3,0.448,0.147930283,0.066243902,0.282,0.424,0.55255864,1.234929737,1.501275025,1.323239094
2,0.556,0.029323812,0.016308075,0.779,1.62,0.443862362,0.798116026,2.077474359,1.94439708
1,0.674,0.005190592,0.003498456,0.439,1.31,0.326021465,0.483727265,2.980528792,2.980528792
1,0.409,0.010184882,0.004168233,0.154,0.326,0.591075064,1.445439574,2.121322433,2.114971278
0,0.597,0.077002009,0.045988301,0.1,0.14,0.402764911,0.674382531,1.394953625,1.130845572
2,0.603,0.064332194,0.038791528,0.471,0.495,0.398978685,0.663835296,1.051733522,0.909434626
2,0.497,1.129451971,0.561692243,0.279,0.251,0.502686031,1.010802154,0.897957255,0.652354705
1,0.821,0.011357752,0.009323482,0.185,0.912,0.179108572,0.218187895,4.922770037,4.922770037
2,0.637,0.715189873,0.455828963,0.132,0.456,0.362572701,0.56880636,3.461049662,1.568347715
2,0.732,0.640031838,0.468240895,0.145,0.153,0.268409997,0.366885818,1.059417265,0.883986812
2,0.686,0.888888889,0.609732467,0.4,0.658,0.314182632,0.45811537,1.646588433,1.382628108
2,0.813,0.582990398,0.473801561,0.101,0.335,0.187112535,0.230182902,3.300457638,2.727285446
2,0.874,0.071297869,0.06228928,0.0578,0.304,0.129869742,0.149252931,5.271389633,5.052821344
0,0.652,0.818503853,0.533888453,0.116,0.154,0.347726403,0.533099,1.329048219,0.70459486
2,0.467,0.79787234,0.372208437,0.0587,0.0677,0.532330968,1.138264457,1.154144312,0.92229869
0,0.545,0.09769803,0.053218782,0.231,0.387,0.455272719,0.835781014,1.677864615,1.523095393
1,0.991,0.000672794,0.000667,0.109,4.82,0.009067481,0.009150438,44.40826708,44.40826708
2,0.879,0.017717581,0.015576534,0.23,1.6,0.120843058,0.13745334,6.982083531,4.348690963
2,0.886,0.244336904,0.216477916,0.357,2.99,0.114018746,0.128692053,8.359188816,6.393050618
1,0.999,0.0000321,0.0000321,0.15,22.2,0.00160031,0.001602872,147.6885791,147.6885791
2,0.939,0.116166448,0.109049683,0.055,0.524,0.061263516,0.065261676,9.532213058,8.021250649
1,0.411,0.249161889,0.102451769,0.00565,0.00445,0.588814448,1.431992068,0.787860199,0.715995208
2,0.746,0.634737755,0.473567107,0.135,0.236,0.253916909,0.340333284,1.744560338,1.273779364
2,0.882,0.354569186,0.312590438,0.383,2.02,0.118393671,0.134293127,5.265884659,4.071629085
2,0.396,0.695061763,0.275424054,0.008,0.00718,0.603741611,1.523605879,0.898140635,0.753706818
2,0.798,0.316126695,0.252165454,0.0639,0.33,0.202327871,0.253647913,5.162857685,4.239050367
2,0.774,0.266699638,0.206330295,0.15,0.36,0.22635705,0.29258594,2.396808095,2.182569814
2,0.536,0.877358491,0.470290771,0.0751,0.0393,0.463597959,0.864275332,0.522146802,0.307284158
1,0.851,0.120670391,0.102661597,0.141,0.578,0.145924495,0.170856108,4.10602157,4.105678943
2,0.834,0.225464447,0.188069824,0.468,2.25,0.165855963,0.198833721,4.81908168,4.192341623
2,0.438,1.155025603,0.506042807,0.0994,0.0872,0.560870052,1.277225197,0.877285869,0.758590607
2,0.888,0.067848355,0.06027291,0.177,1.18,0.111652599,0.125685739,6.637974751,5.292140243
2,0.517,0.986803438,0.509989216,0.447,0.477,0.498379019,0.964338291,1.066002636,0.965892626
1,0.677,0.395883966,0.26804657,0.281,0.358,0.322916326,0.476922335,1.274086563,1.265348987
2,0.433,0.057983539,0.025113052,0.0453,0.0652,0.566685353,1.307782944,1.440851995,0.610127579
1,0.727,0.207684731,0.150918032,0.197,0.382,0.273331112,0.376142582,1.934549811,1.527592906
2,0.465,0.371632581,0.172909901,0.0747,0.119,0.534728898,1.149284568,1.59676451,1.308897132
2,0.568,0.064953908,0.036908749,0.158,0.146,0.431770157,0.759851252,0.925721148,0.776602813
2,0.531,0.331942931,0.176122626,0.0383,0.0349,0.469418959,0.884726219,0.912089705,0.613008567
2,0.682,0.177725263,0.121221474,0.171,0.15,0.317927727,0.466120291,0.877291174,0.649382316
1,0.889,0.024031095,0.021353038,0.0122,0.0204,0.113345669,0.127835267,1.6668357,1.662773702
2,0.63,0.92228955,0.580748573,0.262,0.296,0.370318601,0.588104718,1.130809105,0.734673856
2,0.757,0.235815309,0.178520137,0.383,1.08,0.246648625,0.327400787,2.813881919,2.322641033
2,0.577,0.309762496,0.178777212,0.111,0.159,0.423566007,0.734803656,1.437691155,1.316019281
2,0.61,0.698277949,0.426271741,0.208,0.325,0.389538591,0.638105186,1.561900228,0.695921741
2,0.545,0.513293271,0.279871925,0.101,0.24,0.454752398,0.834029157,2.383985326,1.559666271
2,0.841,0.13074756,0.10994515,0.285,0.691,0.159103619,0.189207164,2.423252048,1.818810541
2,0.267,1.276206762,0.340559085,0.103,0.106,0.733147406,2.747387222,1.024970994,0.748152656
2,0.809,0.601287898,0.486405371,0.418,1.19,0.189236996,0.233405809,2.840333519,2.366440123
2,0.0111,37.02974255,0.412621359,0.00887,0.00646,0.98887372,88.87915111,0.727623169,0.486415417
3,0.592,0.577413479,0.341963323,0.152,0.237,0.407887533,0.688869402,1.558829814,1.55557898
2,0.717,0.292854253,0.20992963,0.264,0.776,0.283160044,0.395011524,2.937626104,1.61139996
1,0.654,0.058727357,0.038379911,0.0284,0.0447,0.346388679,0.529962938,1.575850533,1.56867552
2,0.628,0.158139362,0.099264824,0.223,0.491,0.372295283,0.593105759,2.199701986,1.94083889
1,0.9,0.105384615,0.094809689,0.597,3.3,0.102089862,0.113697149,5.518361669,5.259100673
2,0.471,0.66726155,0.314594217,0.184,0.279,0.528529379,1.121022937,1.516263206,0.94956914
2,0.602,0.641337706,0.385942116,0.0352,0.0556,0.398223257,0.661745841,1.580144207,1.207550389
2,0.648,0.478900753,0.31031526,0.0281,0.0312,0.35202595,0.543271679,1.10978015,0.742153289
1,0.392,1.467538353,0.574726326,0.518,0.414,0.609206882,1.55889475,0.7991424,0.7991424
1,0.597,0.539130435,0.321938555,0.159,0.124,0.404696433,0.679812765,0.777224022,0.76405103
1,0.923,0.134486623,0.124198155,0.247,1.33,0.0765018,0.082839144,5.368387918,5.3042831
1,0.786,0.13101494,0.103036187,0.389,1.21,0.213553909,0.271542972,3.113517864,3.07180175
2,0.52,0.804020101,0.417754569,0.0399,0.0276,0.482453044,0.932190613,0.695693372,0.645024667
1,0.979,0.106906978,0.104628303,0.268,16.9,0.021314555,0.02177876,63.09138227,63.09138227
2,0.809,0.218369132,0.176644955,0.0637,0.285,0.191071773,0.236203617,4.473742414,4.070494784
1,0.635,0.019996408,0.012703825,0.0343,0.0682,0.36469465,0.574046243,1.987996825,1.681714349
2,0.449,1.307692308,0.587587031,0.00845,0.00435,0.556646322,1.243433762,0.514791203,0.369644434
2,0.704,0.562962963,0.396521739,0.253,0.432,0.295878502,0.420210262,1.70695536,1.330492675
2,0.706,0.052511817,0.037057178,0.11,0.475,0.294307833,0.417048462,4.303370597,3.132385776
2,0.431,0.976108339,0.421036624,0.131,0.146,0.568657897,1.318345446,1.118206394,0.791903055
1,0.672,0.106918229,0.0718377,0.0133,0.0146,0.32814112,0.48840868,1.103413743,0.085349824
2,0.793,0.718351838,0.569401367,0.332,1.15,0.207350302,0.261591347,3.458158993,1.989558114
3,0.558,0.06106002,0.034067135,0.000679,0.000744,0.44207134,0.792343845,1.095363553,1.095363553
2,0.796,0.650753769,0.518,0.183,0.313,0.203766881,0.255913575,1.715669103,1.050360462
2,0.914,0.189001504,0.172733116,0.202,4.64,0.086075438,0.094182213,22.9530369,22.43004949
2,0.481,0.942708333,0.453634085,0.0283,0.0206,0.517810903,1.07386833,0.727076376,0.499250935
2,0.553,0.618376725,0.341880775,0.0101,0.0105,0.447131883,0.808749627,1.038386313,0.631833276
0,0.931,0.051800438,0.048215651,0.386,3.36,0.069203787,0.07434902,8.689014405,7.729360817
2,0.728,0.331961437,0.241716563,0.499,0.694,0.267581589,0.36534142,1.389936195,1.264292426
2,0.499,0.879182156,0.43836886,0.0351,0.0621,0.50098146,1.003933562,1.765424436,1.269263475
0,0.48,0.029923589,0.014359563,0.0595,0.0481,0.520125629,1.08387874,0.808681255,0.803485759
2,0.356,0.746044872,0.265428026,0.0117,0.0152,0.644219757,1.810723811,1.295628998,0.886960516
2,0.707,0.599874921,0.423890825,0.181,0.282,0.293367983,0.415163729,1.558863852,1.036272081
